AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
100;600868801;;7200.0
100;600872399;6695.0;
100;600872401;;6695.0
100;600875999;6173.0;
100;600876001;;6173.0
100;600879599;6204.0;
100;600879601;;6204.0
100;600883199;6402.0;
100;600883201;;6402.0
100;600886799;8186.0;
100;600886801;;8186.0
100;600890399;9115.0;
100;600890401;;9115.0
100;600893999;8866.0;
100;600894001;;8866.0
100;600897599;8712.0;
100;600897601;;8712.0
100;600901199;7473.0;
100;600901201;;7473.0
100;600904799;7135.0;
100;600904801;;7135.0
100;600908399;6668.0;
100;600908401;;6668.0
100;600911999;5596.0;
100;600912001;;5596.0
100;600915599;4851.0;
100;600915601;;4851.0
100;600919199;4750.0;
100;600919201;;4750.0
100;600922799;4745.0;
100;600922801;;4745.0
100;600926399;4834.0;
100;600926401;;4834.0
100;600929999;5317.0;
100;600930001;;5317.0
100;600933599;7362.0;
100;600933601;;7362.0
100;600937199;10080.0;
100;600937201;;10080.0
100;600940799;10145.0;
100;600940801;;10145.0
100;600944399;9959.0;
100;600944401;;9959.0
100;600947999;9866.0;
100;600948001;;9866.0
100;600951599;9468.0;
100;600951601;;9468.0
100;600955199;9008.0;
100;600955201;;9008.0
100;600958799;9033.0;
100;600958801;;9033.0
100;600962399;8636.0;
100;600962401;;8636.0
100;600965999;8877.0;
100;600966001;;8877.0
100;600969599;9610.0;
100;600969601;;9610.0
100;600973199;9917.0;
100;600973201;;9917.0
100;600976799;9954.0;
100;600976801;;9954.0
100;600980399;9495.0;
100;600980401;;9495.0
100;600983999;8943.0;
100;600984001;;8943.0
100;600987599;7609.0;
100;600987601;;7609.0
100;600991199;7662.0;
100;600991201;;7662.0
100;600994799;6552.0;
100;600994801;;6552.0
100;600998399;6601.0;
100;600998401;;6601.0
100;601001999;6272.0;
100;601002001;;6272.0
100;601005599;5506.0;
100;601005601;;5506.0
100;601009199;5164.0;
100;601009201;;5164.0
100;601012799;4853.0;
100;601012801;;4853.0
100;601016399;5200.0;
100;601016401;;5200.0
100;601019999;6851.0;
100;601020001;;6851.0
100;601023599;9388.0;
100;601023601;;9388.0
100;601027199;9849.0;
100;601027201;;9849.0
100;601030799;9672.0;
100;601030801;;9672.0
100;601034399;9597.0;
100;601034401;;9597.0
100;601037999;9087.0;
100;601038001;;9087.0
100;601041599;8150.0;
100;601041601;;8150.0
100;601045199;8000.0;
100;601045201;;8000.0
100;601048799;7687.0;
100;601048801;;7687.0
100;601052399;8204.0;
100;601052401;;8204.0
100;601055999;9148.0;
100;601056001;;9148.0
100;601059599;9781.0;
100;601059601;;9781.0
100;601063199;9691.0;
100;601063201;;9691.0
100;601066799;8589.0;
100;601066801;;8589.0
100;601070399;7221.0;
100;601070401;;7221.0
100;601073999;6500.0;
100;601074001;;6500.0
100;601077599;6639.0;
100;601077601;;6639.0
100;601081199;6010.0;
100;601081201;;6010.0
100;601084799;5340.0;
100;601084801;;5340.0
100;601088399;5217.0;
100;601088401;;5217.0
100;601091999;5017.0;
100;601092001;;5017.0
100;601095599;4738.0;
100;601095601;;4738.0
100;601099199;4395.0;
100;601099201;;4395.0
100;601102799;5413.0;
100;601102801;;5413.0
100;601106399;7084.0;
100;601106401;;7084.0
100;601109999;9651.0;
100;601110001;;9651.0
100;601113599;10079.0;
100;601113601;;10079.0
100;601117199;10051.0;
100;601117201;;10051.0
100;601120799;9939.0;
100;601120801;;9939.0
100;601124399;9766.0;
