AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
5;947847599;17682.468;
5;947847604;;0.0
5;947851199;17072.9989;
5;947851204;;0.0
5;947854799;17367.9559;
5;947854804;;0.0
5;947858399;17442.4676;
5;947858404;;0.0
5;947861999;17055.7913;
5;947862004;;0.0
5;947865599;16465.3263;
5;947865604;;0.0
5;947869199;16170.9411;
5;947869204;;0.0
5;947872799;16105.4023;
5;947872804;;0.0
5;947876399;15707.8011;
5;947876404;;0.0
5;947879999;14699.6524;
5;947880004;;0.0
5;947883599;13472.5332;
5;947883604;;0.0
5;947887199;12218.8985;
5;947887204;;0.0
5;947890799;11037.9869;
5;947890804;;0.0
5;947894399;10032.6548;
5;947894404;;0.0
5;947897999;9605.7685;
5;947898004;;0.0
5;947901599;9479.9347;
5;947901604;;0.0
5;947905199;9552.3892;
5;947905204;;0.0
5;947908799;9677.0291;
5;947908804;;0.0
5;947912399;10295.9421;
5;947912404;;0.0
5;947915999;11781.6398;
5;947916004;;0.0
5;947919599;14809.7839;
5;947919604;;0.0
5;947923199;17229.3184;
5;947923204;;0.0
5;947926799;17669.4373;
5;947926804;;0.0
5;947930399;17698.0117;
5;947930404;;0.0
5;947933999;17782.3465;
5;947934004;;0.0
5;947937599;17166.6307;
5;947937604;;0.0
5;947941199;17298.6393;
5;947941204;;0.0
5;947944799;17325.7309;
5;947944804;;0.0
5;947948399;17076.1748;
5;947948404;;0.0
5;947951999;16374.1476;
5;947952004;;0.0
5;947955599;16013.8209;
5;947955604;;0.0
5;947959199;16057.8828;
5;947959204;;0.0
5;947962799;15661.6701;
5;947962804;;0.0
5;947966399;14821.0143;
5;947966404;;0.0
5;947969999;13610.2201;
5;947970004;;0.0
5;947973599;12305.0837;
5;947973604;;0.0
5;947977199;11049.6229;
5;947977204;;0.0
5;947980799;10034.7073;
5;947980804;;0.0
5;947984399;9603.6286;
5;947984404;;0.0
5;947987999;9389.4972;
5;947988004;;0.0
5;947991599;9455.6177;
5;947991604;;0.0
5;947995199;9631.6902;
5;947995204;;0.0
5;947998799;10268.3712;
5;947998804;;0.0
5;948002399;11735.3054;
5;948002404;;0.0
5;948005999;14634.5381;
5;948006004;;0.0
5;948009599;17080.3113;
5;948009604;;0.0
5;948013199;17475.0046;
5;948013204;;0.0
5;948016799;17406.6161;
5;948016804;;0.0
5;948020399;17430.2084;
5;948020404;;0.0
5;948023999;16896.0433;
5;948024004;;0.0
5;948027599;16812.9089;
5;948027604;;0.0
5;948031199;16715.3394;
5;948031204;;0.0
5;948034799;16206.577;
5;948034804;;0.0
5;948038399;15596.8868;
5;948038404;;0.0
5;948041999;15556.7115;
5;948042004;;0.0
5;948045599;15425.5466;
5;948045604;;0.0
5;948049199;15009.5505;
5;948049204;;0.0
5;948052799;14258.2286;
5;948052804;;0.0
5;948056399;13198.8379;
5;948056404;;0.0
5;948059999;12228.4843;
5;948060004;;0.0
5;948063599;11236.1746;
5;948063604;;0.0
5;948067199;10124.8455;
5;948067204;;0.0
5;948070799;9565.2662;
5;948070804;;0.0
5;948074399;9293.7579;
5;948074404;;0.0
5;948077999;9350.9206;
5;948078004;;0.0
5;948081599;9506.5055;
5;948081604;;0.0
5;948085199;10016.9143;
5;948085204;;0.0
5;948088799;10815.6636;
5;948088804;;0.0
5;948092399;11851.5957;
5;948092404;;0.0
5;948095999;12732.5299;
5;948096004;;0.0
5;948099599;13430.272;
5;948099604;;0.0
5;948103199;14050.864;
5;948103204;;0.0
5;948106799;14248.8959;
5;948106804;;0.0
5;948110399;14024.1225;
5;948110404;;0.0
5;948113999;13861.4307;
5;948114004;;0.0
5;948117599;13689.849;
5;948117604;;0.0
5;948121199;13498.1616;
5;948121204;;0.0
5;948124799;13649.3288;
5;948124804;;0.0
5;948128399;14387.3837;
5;948128404;;0.0
5;948131999;14467.2833;
5;948132004;;0.0
5;948135599;14175.0842;
5;948135604;;0.0
5;948139199;13556.9491;
5;948139204;;0.0
5;948142799;12794.6093;
5;948142804;;0.0
5;948146399;12147.1931;
5;948146404;;0.0
5;948149999;11222.0952;
5;948150004;;0.0
5;948153599;10224.4953;
5;948153604;;0.0
5;948157199;9745.1379;
