AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
2;971618399;2981.379049377756;;;
2;971618404;;2868.1309180397866;0.0;
2;971621999;2302.6969506680375;;;
2;971622004;;2246.758854469396;0.0;
2;971625599;1584.876195166358;;;
2;971625604;;1580.858957965003;0.0;
2;971629199;1198.244397801908;;;
2;971629204;;1195.412397801908;0.0;
2;971632799;1064.624290543646;;;
2;971632804;;1061.792290543646;0.0;
2;971636399;879.6887983310957;;;
2;971636404;;876.8567983310957;0.0;
2;971639999;811.8643350251957;;;
2;971640004;;809.0323350251957;0.0;
2;971643599;887.1467122211856;;;
2;971643604;;884.3147122211856;0.0;
2;971647199;1023.7340017498037;;;
2;971647204;;1020.9020017498037;0.0;
2;971650799;1180.8538693290213;;;
2;971650804;;1178.0218693290212;0.0;
2;971654399;1360.6524280034073;;;
2;971654404;;1357.8204280034072;0.0;
2;971657999;1519.481488581884;;;
2;971658004;;1516.6494885818838;0.0;
2;971661599;1569.8885318315956;;;
2;971661604;;1567.0565318315955;0.0;
2;971665199;1648.6040502643336;;;
2;971665204;;1645.7720502643335;0.0;
2;971668799;1629.526021765154;;;
2;971668804;;1626.6940217651538;0.0;
2;971672399;1760.6947260691122;;;
2;971672404;;1757.7937360168055;0.0;
2;971675999;2250.7283855841733;;;
2;971676004;;2138.31126942064;0.0;
2;971679599;2977.3616408376406;;;
2;971679604;;2734.4973972591997;0.0;
2;971683199;3372.5785042182274;;;
2;971683204;;2996.1735419071138;0.0;
2;971686799;3318.607055542373;;;
2;971686804;;2908.343372349223;0.0;
2;971690399;3287.4320908996556;;;
2;971690404;;2904.5148590791005;0.0;
2;971693999;3150.9349520419782;;;
2;971694004;;2782.090064034025;0.0;
2;971697599;2985.049076273652;;;
2;971697604;;2670.803990212942;0.0;
2;971701199;2678.151357231999;;;
2;971701204;;2397.490227636868;0.0;
2;971704799;2613.956481124112;;;
2;971704804;;2421.2943099955837;0.0;
2;971708399;2832.573627634361;;;
2;971708404;;2740.009378343647;0.0;
2;971711999;3105.7248188866893;;;
2;971712004;;3101.981590224828;0.0;
2;971715599;3145.4690590928267;;;
2;971715604;;3142.637059092827;0.0;
2;971719199;3192.751130105204;;;
2;971719204;;3189.919130105204;0.0;
2;971722799;3062.7684425452485;;;
2;971722804;;3059.9364425452486;0.0;
2;971726399;2881.1715381084214;;;
2;971726404;;2878.3395381084215;0.0;
2;971729999;2740.6016856292395;;;
2;971730004;;2737.7696856292396;0.0;
2;971733599;2475.4831196434293;;;
2;971733604;;2472.6511196434294;0.0;
2;971737199;2086.928986635842;;;
2;971737204;;2084.0969866358423;0.0;
2;971740799;1782.6239975813958;;;
2;971740804;;1779.7919975813957;0.0;
2;971744399;1634.6360102943488;;;
2;971744404;;1631.8040102943487;0.0;
2;971747999;1577.2302090352575;;;
2;971748004;;1574.3982090352574;0.0;
2;971751599;1394.3843250098391;;;
2;971751604;;1391.552325009839;0.0;
2;971755199;1136.4708519125923;;;
2;971755204;;1133.6388519125921;0.0;
2;971758799;931.8068994671596;;;
2;971758804;;928.9422114425668;0.0;
2;971762399;1003.70875410477;;;
2;971762404;;847.3321499520079;0.0;
2;971765999;1043.157179706811;;;
2;971766004;;697.2760740013896;0.0;
2;971769599;1082.8495171267082;;;
2;971769604;;609.0399157926331;0.0;
2;971773199;1064.5704562289727;;;
2;971773204;;540.2456068932469;0.0;
2;971776799;968.8748390616563;;;
2;971776804;;400.9865228054022;0.0;
2;971780399;930.9897480101162;;;
2;971780404;;335.277472559516;0.0;
2;971783999;917.0797084059483;;;
2;971784004;;368.86630316292775;0.0;
2;971787599;796.3826803721677;;;
